#,FOIAID,name,active,agency,official name,npi,station number,state,facility type,visn,parent,taxonomy
105,4-105,DENVER-RO,False,VA,,,339,COLORADO,RO,,,
106,4-106,ALBUQUERQUE-RO,False,VA,,,340,NEW MEXICO,RO,,,
107,4-107,SALT LAKE CITY-RO,False,VA,,,341,UTAH,RO,,,
108,4-108,OAKLAND-RO,False,VA,,,343,CALIFORNIA,RO,,,
109,4-109,LOS ANGELES-RO,False,VA,,,344,CALIFORNIA,RO,,,
110,4-110,PHOENIX-RO,False,VA,,,345,ARIZONA,RO,,,
111,4-111,SEATTLE-RO,False,VA,,,346,WASHINGTON,RO,,,
112,4-112,BOISE-RO,False,VA,,,347,IDAHO,RO,,,
113,4-113,PORTLAND-RO,False,VA,,,348,OREGON,RO,,,
114,4-114,WACO-RO,False,VA,,,349,TEXAS,RO,,,
115,4-115,LITTLE ROCK-RO,False,VA,,,350,ARKANSAS,RO,,,
116,4-116,MUSKOGEE-RO,False,VA,,,351,OKLAHOMA,RO,,,
117,4-117,RENO-RO,False,VA,,,354,NEVADA,RO,,,
118,4-118,SAN JUAN-RO,False,VA,,,355,PUERTO RICO,RO,,,
119,4-119,MANILA-RO,False,VA,MANILA RO,,358,PHILIPPINES,RO-OC,VISN 21,,
120,4-120,HONOLULU-RO,False,VA,,,359,HAWAII,RO,,,
121,4-121,HONOLULU US ARMY HOSPITAL,False,,,,359CN,HAWAII,USAH,,,
122,4-122,MARSHALL ISLAND NAVY HOSP,False,,,,359CT,GUAM,USNH,,,
123,4-123,HOUSTON-RO,False,VA,,,362,TEXAS,RO,,,
124,4-124,ALASKA VAHSRO,False,VA,ALASKA VAHSRO,1760589121,463,ALASKA,RO-OC,VISN 20,,Ambulatory Health Care Facilities
125,4-125,ZZANCHORAGE (PHS),True,OTHER,ALASKA VAHSRO,,463C5,ALASKA,PHS,,,
126,4-126,ZZ ANCHORAGE USAH,True,,,,363CN,ALASKA,USAH,,,
127,4-127,ZZ ANCHORAGE USAF,True,,,,363CZ,ALASKA,USAF,,,
128,4-128,WASHINGTON DC-RO,False,VA,,,372,DISTRICT OF COLUMBIA,RO,,,
129,4-129,MANCHESTER-RO,False,VA,,,373,NEW HAMPSHIRE,RO,,,
130,4-130,ST. LOUIS (RPC),False,VA,,,376,MISSOURI,RPC,,,
131,4-131,SAN DIEGO-RO,False,VA,,,377,CALIFORNIA,RO,,,
132,4-132,TOGUS MAINE VAMC,False,VA,TOGUS MAINE VAMC,1184674509,402,MAINE,M&ROC,VISN 1,,Hospitals
133,4-133,WHITE RIVER JCT VAMROC,False,VA,WHITE RIVER JCT VAMROC,1134179146,405,VERMONT,M&ROC,VISN 1,,Hospitals
134,4-134,BENNINGTON STATE HOME,False,OTHER,BENNINGTON VERMONT STATE HOME,,405DT,VERMONT,STNB,VISN 1,WHITE RIVER JCT VAMROC,
135,4-135,MONTANA HCS,False,VA,MONTANA HEALTH CARE SYSTEM - FT. HARRISON DIVISION,1144279910,436,MONTANA,M&ROC,VISN 19,MONTANA HCS (436),Hospitals
136,4-136,FT. HARRISON VET STATE HOME,False,VA,FT HARRISON VET STATE HOME,,436DT,MONTANA,STDM,VISN 19,MONTANA HCS,
137,4-137,FARGO VAMROC,False,VA,FARGO VAMROC,1437100971,437,NORTH DAKOTA,M&ROC,VISN 23,,Hospitals
138,4-138,MINOT AFB,False,AIR FORCE,MINOT AFB,,437CZ,NORTH DAKOTA,USAF,VISN 23,FARGO VAMROC,
139,4-139,LISBON,False,OTHER,LISBON,,437DT,NORTH DAKOTA,STNB,VISN 23,FARGO VAMROC,
140,4-140,SIOUX FALLS VAMROC,False,VA,SIOUX FALLS VAMROC,1689624413,438,SOUTH DAKOTA,M&ROC,VISN 23,,Hospitals
141,4-141,CHEYENNE VAMC,False,VA,CHEYENNE VAMC,1164471991,442,WYOMING,M&ROC,VISN 19,,Hospitals
142,4-142,WICHITA-RO,False,VA,ROBERT J. DOLE DEPARTMENT OF VETERANS AFFAIRS MEDICAL AND REGIONAL OFFICE CENTER,,452,KANSAS,RO,,,
143,4-143,ZZ FT. DODGE STNB,True,,,,452DT,KANSAS,STNB,,,
144,4-144,MAYAGUEZ,False,VA,MAYAGUEZ OUTPATIENT CLINIC,1184662843,672BZ,PUERTO RICO,OPC,VISN 8,SAN JUAN VAMC,Ambulatory Health Care Facilities
145,4-145,VA PACIFIC ISLANDS HCS,False,VA,VA PACIFIC ISLAND HCS,1831148386,459,HAWAII,M&ROC,VISN 21,,Hospitals
146,4-146,WILMINGTON VAMC,False,VA,WILMINGTON VAMC,1407805898,460,DELAWARE,M&ROC,VISN 4,,Hospitals
147,4-147,ZZ-VINELAND STATE HOME,True,,,,460DT,NEW JERSEY,STNB,,,
148,4-148,ZZ ALBANY,True,VA,ALBANY VA MEDICAL CENTER,,500,NEW YORK,VAMC,,,
149,4-149,NEW MEXICO HCS,False,VA,NEW MEXICO VA HEALTH CARE SYSTEM - ALBUQUERQUE DIVISION,1013966118,501,NEW MEXICO,VAMC,VISN 18,,Hospitals
150,4-150,TRUTH OR CONSEQUENCES,False,VA,TRUTH OR CONSEQUENCES (DOM),,501DT,NEW MEXICO,STDM,VISN 18,NEW MEXICO HCS,
151,4-151,ALEXANDRIA VAMC,False,VA,ALEXANDRIA VAMC,1992754055,502,LOUISIANA,VAMC,VISN 16,,Hospitals
152,4-152,ALTOONA,False,VA,JAMES E VAN ZANDT VAMC,1316996887,503,PENNSYLVANIA,VAMC,VISN 4,,Hospitals
153,4-153,HOLLIDAYSBURG (STNB),False,VA,HOLLIDAYSBURG STATE VETERANS HOME,,503DT,PENNSYLVANIA,STNB,VISN 4,ALTOONA,
154,4-154,AMARILLO HCS,False,VA,AMARILLO HCS,1225087794,504,TEXAS,VAMC,VISN 18,,Hospitals
155,4-155,LUBBOCK,False,VA,LUBBOCK OUTPATIENT CLINIC,1790746188,504BY,TEXAS,OPC,VISN 18,AMARILLO HCS,Ambulatory Health Care Facilities
156,4-156,AMERICAN LAKE (VAMC),False,VA,PUGET SOUND HEALTH CARE SYSTEM - AMERICAN LAKE DIVISION,1477502946,663A4,WASHINGTON,VAMC,VISN 20,PUGET SOUND HCS,Hospitals
157,4-157,ZZ MADIGAN USAH,True,,,,505CN,WASHINGTON,USAH,,,
158,4-158,ANN ARBOR VAMC,False,VA,,1659321701,506,MICHIGAN,VAMC,VISN 11,,Hospitals
159,4-159,ZZ TOLEDO,True,VA,,,506BY,OHIO,OPC,,,
160,4-160,ATLANTA VAMC,False,VA,ATLANTA VAMC,1902855216,508,GEORGIA,VAMC,VISN 7,,Hospitals
161,4-161,AUGUSTA VAMC,False,VA,,1801844469,509,GEORGIA,VAMC,VISN 7,,Hospitals
162,4-162,AUGUSTA UPTOWN,False,VA,AUGUSTA VAMC - UPTOWN,1942259924,509A0,GEORGIA,VAMC,VISN 7,AUGUSTA VAMC,Hospitals
163,4-163,AUGUSTA (STATE HOME),False,,,,509DT,GEORGIA,STNB,,AUGUSTA VAMC,
164,4-164,BALTIMORE MD VAMC,False,VA,BALTIMORE MD VAMC,1083663157,512,MARYLAND,VAMC,VISN 5,MARYLAND HCS (512),Hospitals
165,4-165,ZZBALTIMORE (SOC),True,VA,ZZBALTIMORE (SOC),,512BY,MARYLAND,OPC,,,
166,4-166,BATAVIA VAMC,False,VA,VA HEALTHCARE NETWORK UPSTATE NEW YORK SYSTEM VISN 2 - BATAVIA DIVISION,1669416624,528A4,NEW YORK,VAMC,VISN 2,UPSTATE NEW YORK HCS,Ambulatory Health Care Facilities
167,4-167,ZZ ROCHESTER,True,VA,,,513BZ,NEW YORK,OPC,,,
168,4-168,ZZ BATH VAMC,True,VA,,,514,NEW YORK,VAMC,,,
169,4-169,BATTLE CREEK VAMC,False,VA,BATTLE CREEK VA MEDICAL CENTER,1417906512,515,MICHIGAN,VAMC,VISN 11,,Hospitals
170,4-170,GRAND RAPIDS,False,VA,GRAND RAPIDS COMMUNITY BASED OUTPATIENT CLINIC,1114966256,515BY,MICHIGAN,CBOC,VISN 11,BATTLE CREEK VAMC,Ambulatory Health Care Facilities
171,4-171,BAY PINES VA HCS,False,VA,BAY PINES VA HCS,,516,FLORIDA,VAMC,VISN 8,,
172,4-172,FT MYERS VA OUTPATIENT CLINIC,False,VA,FT MYERS VA OUTPATIENT CLINIC,1710933452,516BZ,FLORIDA,OPC,VISN 8,BAY PINES VA HCS,Ambulatory Health Care Facilities
173,4-173,ZZJACKSONVILLE NAVY HOSP,True,OTHER,ZZJACKSONVILLE NAVY HOSP,,516CV,FLORIDA,OTHER,,,
174,4-174,BECKLEY VAMC,False,VA,BECKLEY VAMC,1750330858,517,WEST VIRGINIA,VAMC,VISN 6,,Hospitals
175,4-175,BEDFORD VAMC,False,VA,BEDFORD VAMC,1568412617,518,MASSACHUSETTS,VAMC,VISN 1,,Hospitals
176,4-176,WEST TEXAS HCS,False,VA,WEST TEXAS VA HEALTH CARE SYSTEM - BIG SPRING DIVISION,1902855901,519,TEXAS,VAMC,VISN 18,,Hospitals
177,4-177,BILOXI VAMC,False,VA,VA GULF COAST VETERANS HEALTH CARE SYSTEM,1811946817,520,MISSISSIPPI,VAMC,VISN 16,,Hospitals
178,4-178,GULFPORT DIV ,False,VA,GULFPORT VAMC,1265481477,520A0,MISSISSIPPI,VAMC,VISN 16,BILOXI VAMC,Hospitals
179,4-179,BILOXI (OCS),False,VA,BILOXI OPC,,520BY,MISSISSIPPI,OPC,VISN 16,BILOXI VAMC,
180,4-180,PENSACOLA VA OPC FL,False,VA,PENSACOLA VA OPC FL,1942249339,520BZ,FLORIDA,OPC,VISN 16,BILOXI VAMC,Ambulatory Health Care Facilities
181,4-181,BIRMINGHAM VAMC,False,VA,BIRMINGHAM VAMC,1043269046,521,ALABAMA,VAMC,VISN 7,,Hospitals
182,4-182,BONHAM VAMC,False,VA,NORTH TEXAS HEALTH CARE SYSTEM - BONHAM DIVISION,1558314948,549A4,TEXAS,VAMC,VISN 17,NORTH TEXAS HCS,Ambulatory Health Care Facilities
183,4-183,BOSTON HCS VAMC,False,VA,VA BOSTON HEALTHCARE SYSTEM - BOSTON DIVISION,1497851802,523,MASSACHUSETTS,VAMC,VISN 1,,Hospitals
184,4-184,LOWELL,False,VA,VA BOSTON HEALTHCARE SYSTEM - LOWELL DIVISION,1447290176,523BY,MASSACHUSETTS,OPC,VISN 1,BOSTON HCS VAMC,Ambulatory Health Care Facilities
185,4-185,ZZ BROCKTON VAMC,True,VA,,,525,MASSACHUSETTS,VAMC,,,
186,4-186,ZZ WEST ROXBURY VAMC,True,VA,,,525A4,MASSACHUSETTS,VAMC,,,
187,4-187,ZZ WORCHESTER SOC,True,VA,,,525BY,MASSACHUSETTS,OPC,,,
188,4-188,BRONX VAMC,False,VA,BRONX VA HOSPITAL,1316996630,526,NEW YORK,VAMC,VISN 3,,Hospitals
189,4-189,BROOKLYN HHS,False,VA,VA NEW YORK HARBOR HEALTHCARE SYSTEM - BROOKLYN DIVISION,1033168356,630A4,NEW YORK,VAMC,VISN 3,NEW YORK HHS,Hospitals
190,4-190,UPSTATE NEW YORK HCS,False,VA,VA HEALTHCARE NETWORK UPSTATE NEW YORK SYSTEM - BUFFALO DIVISION,,528,NEW YORK,VAMC,VISN 2,,
191,4-191,BUTLER,False,VA,Butler Veterans Affairs Medical Center,1851340178,529,PENNSYLVANIA,VAMC,VISN 4,,Hospitals
192,4-192,BOISE VAMC,False,VA,,1861441867,531,IDAHO,VAMC,VISN 20,,Hospitals
193,4-193,BOISE STATE HOME,False,,,,531DT,IDAHO,STNB,,BOISE VAMC,
194,4-194,ZZ CANANDAIGUA,True,VA,,,532,NEW YORK,VAMC,,,
195,4-195,ZZ CASTLE POINT VAMC,True,VA,,,533,NEW YORK,VAMC,,,
196,4-196,CHARLESTON VAMC,False,VA,RALPH H. JOHNSON VA MEDICAL CENTER (534),1659320620,534,SOUTH CAROLINA,VAMC,VISN 7,,Hospitals
197,4-197,ZZ CHICAGO-LS, IL (EFF 1/1/97),True,VA,CHICAGO HEALTH CARE SYSTEM - LAKESIDE DIVISION,,537A4,ILLINOIS,OPC,,,
198,4-198,JESSE BROWN VAMC,False,VA,JESSE BROWN VA MEDICAL CENTER,1215986047,537,ILLINOIS,VAMC,VISN 12,VA CHICAGO HSC (537),Hospitals
199,4-199,CHILLICOTHE, OH VAMC,False,VA,CHILLICOTHE, OH VAMC,1568411395,538,OHIO,VAMC,VISN 10,,Hospitals
200,4-200,CINCINNATI,False,VA,CINCINNATI VAMC,1093764821,539,OHIO,VAMC,VISN 10,,Hospitals
201,4-201,CLARKSBURG VAMC,False,VA,LOUIS A JOHNSON VA MEDICAL CENTER,1295784056,540,WEST VIRGINIA,VAMC,VISN 4,,Hospitals
202,4-202,CLEVELAND VAMC,False,VA,CLEVELAND VAMC,1093764219,541,OHIO,VAMC,VISN 10,,Hospitals
203,4-203,BRECKSVILLE VANPH,False,VA,BRECKSVILLE VANPH,,541A0,OHIO,VANPH,VISN 10,CLEVELAND VAMC,
204,4-204,CANTON CBOC,False,VA,CANTON CBOC,1487606018,541BY,OHIO,CBOC,VISN 10,CLEVELAND VAMC,Ambulatory Health Care Facilities
205,4-205,SANDUSKY STATE DOMICILIARY,False,VA,OHIO VETERANS HOME,,541DT,OHIO,STDM,VISN 10,CLEVELAND VAMC,
206,4-206,COATESVILLE VAMC,False,VA,COATESVILLE VA MEDICAL CENTER,1669422192,542,PENNSYLVANIA,VAMC,VISN 4,,Hospitals
207,4-207,ZZ COLUMBIA, MO VAMC,True,VA,,,543,MISSOURI,VAMC,,,
208,4-208,COLUMBIA, SC VAMC,False,VA,WM JENNINGS BRYAN DORN VETERANS AFFAIRS MEDICAL CENTER,1578514030,544,SOUTH CAROLINA,VAMC,VISN 7,,Hospitals
209,4-209,GREENVILLE SOC,False,VA,,1104865211,544BZ,SOUTH CAROLINA,OPC,VISN 7,COLUMBIA, SC VAMC,Ambulatory Health Care Facilities
210,4-210,COLUMBIA, SC ST NURSING HOME,False,,,,544DT,SOUTH CAROLINA,STNB,,COLUMBIA, SC VAMC,
211,4-211,MIAMI VAMC,False,VA,,,546,FLORIDA,VAMC,VISN 8,,
212,4-212,ZZ RIVIERA BEACH SOC,True,VA,,,546BY,FLORIDA,OPC,,,
213,4-213,OAKLAND PARK OPC,False,VA,,1538106992,546BZ,FLORIDA,OPC,VISN 8,MIAMI VAMC,Ambulatory Health Care Facilities
214,4-214,NORTH TEXAS HCS,False,VA,NORTH TEXAS HEALTH CARE SYSTEM - DALLAS DIVISION,1174572416,549,TEXAS,VAMC,VISN 17,,Hospitals
215,4-215,ILLIANA HCS,False,VA,ILLIANA HCS,1326097163,550,ILLINOIS,VAMC,VISN 11,,Hospitals
216,4-216,PEORIA,False,VA,PEORIA,1134163736,550BY,ILLINOIS,OPC,VISN 11,ILLIANA HCS,Ambulatory Health Care Facilities
217,4-217,DAYTON,False,VA,DAYTON, OH VAMC,1518916733,552,OHIO,VAMC,VISN 10,,Hospitals
218,4-218,DETROIT, MI VAMC,False,VA,JOHN D. DINGELL VA MEDICAL CENTER (553),1366491136,553,MICHIGAN,VAMC,VISN 11,,Hospitals
219,4-219,ZZ 553DT,True,,,,553DT,MICHIGAN,STNB,,,
220,4-220,EASTERN COLORADO HCS,False,VA,EASTERN COLORADO HEALTH CARE SYSTEM - DENVER DIVSN ,1568418333,554,COLORADO,VAMC,VISN 19,EASTERN COLORADO HCS (554),Hospitals
221,4-221,DENVER (DENT),False,VA,DENVER (DENT),,554BY,COLORADO,DENT,VISN 19,EASTERN COLORADO HCS,
222,4-222,MOUNTAIN HOME DOM,False,VA,MOUNTAIN HOME DOM,,621BU,TENNESSEE,DOM,VISN 9,,
223,4-223,HOMELAKE STATE VETS CENTER,False,OTHER,HOMELAKE STATE VETS CENTER,,554DT,COLORADO,STNB,VISN 19,EASTERN COLORADO HCS,
224,4-224,ZZ CENTRAL IOWA HCS,True,VA,VA CENTRAL IOWA HEALTH CARE SYSTEM,,555,IOWA,VAMC,,,
225,4-225,ZZ MARSHALLTOWN STDM,True,,MARSHALLTOWN STATE DOMICILIARY,,555DT,IOWA,STDM,,,
226,4-226,NORTH CHICAGO VAMC,False,VA,NORTH CHICAGO VAMC,1487604864,556,ILLINOIS,VAMC,VISN 12,,Hospitals
227,4-227,DUBLIN VAMC,False,VA,DUBLIN,1033168257,557,GEORGIA,VAMC,VISN 7,,Hospitals
228,4-228,MILLEDGEVILLE,False,VA,GWVH DOMICILIARY MILLEDGEVILLE,,557DT,GEORGIA,STDM,VISN 7,DUBLIN VAMC,
229,4-229,DURHAM VAMC,False,VA,DURHAM VAMC,1992754758,558,NORTH CAROLINA,VAMC,VISN 6,,Hospitals
230,4-230,EAST ORANGE-VA NEW JERSEY HCS,False,VA,NEW JERSEY HEALTH CARE SYSTEM - EAST ORANGE,1801845664,561,NEW JERSEY,VAMC,VISN 3,NEW JERSEY HCS (561),Hospitals
231,4-231,NEWARK, NJ DTC,False,VA,NEWARK DTC,1720025273,561BY,NEW JERSEY,OPC,VISN 3,EAST ORANGE-VA NEW JERSEY HCS,Ambulatory Health Care Facilities
232,4-232,ZZ MENLO PARK,True,OTHER,MENLO PARK,,561DT,NEW JERSEY,STNB,,,
233,4-233,ERIE VAMC,False,VA,ERIE VAMC,1396796827,562,PENNSYLVANIA,VAMC,VISN 4,,Hospitals
234,4-234,ERIE S,False,OTHER,ERIE SOLDIERS & SAILORS HOME,,562DT,PENNSYLVANIA,STNB,VISN 4,ERIE VAMC,
235,4-235,FAYETTEVILLE AR,False,VA,FAYETTEVILLE AR, VAMC,1003867326,564,ARKANSAS,VAMC,VISN 16,,Hospitals
236,4-236,FAYETTEVILLE NC VAMC,False,VA,FAYETTEVILLE NC VAMC,1578516902,565,NORTH CAROLINA,VAMC,VISN 6,,Hospitals
237,4-237,ZZ FORT HOWARD,True,VA,,,512A4,MARYLAND,VAMC,,,
238,4-238,ZZ SOUTHERN COLORADO HCS,True,VA,SOUTHERN COLORADO HEALTH CARE SYSTEM - FT. LYON,,567,COLORADO,VAMC,,,
239,4-239,BLACK HILLS HCS,False,VA,BLACK HILLS HEALTH CARE SYSTEM - FT. MEADE DIVISION,1851340087,568,SOUTH DAKOTA,VAMC,VISN 23,,Hospitals
240,4-240,FT. WAYNE,False,VA,NORTHERN INDIANA HEALTHCARE SYSTEM FT. WAYNE DIVISION,1568411791,610A4,INDIANA,VAMC,VISN 11,MARION, IN,Hospitals
241,4-241,CENTRAL CALIFORNIA HCS,False,VA,CENTRAL CALIFORNIA HEALTH CARE SYSTEM - FRESNO DIVISION,1508815291,570,CALIFORNIA,VAMC,VISN 21,,Hospitals
242,4-242,N. FLORIDA/S. GEORGIA VHS,False,VA,VA NORTH FLORIDA/SOUTH GEORGIA HEALTH SYSTEM - GAINESVILLE DIVISION,1063462000,573,FLORIDA,VAMC,VISN 8,,Hospitals
243,4-243,JACKSONVILLE, FL OPC,False,VA,JACKSONVILLE OPC,1578506655,573BY,FLORIDA,OPC,VISN 8,N. FLORIDA_S. GEORGIA VHS,Ambulatory Health Care Facilities
244,4-244,DAYTONA BEACH OPC,False,VA,DAYTONA BEACH OPC,1851345888,573BZ,FLORIDA,OPC,VISN 8,N. FLORIDA_S. GEORGIA VHS,Ambulatory Health Care Facilities
245,4-245,ZZ GRAND ISLAND,True,VA,,,574,NEBRASKA,VAMC,,,
246,4-246,ZZ GRAND ISLAND,True,,,,574DT,NEBRASKA,STNB,,,
247,4-247,GRAND JUNCTION (VAMC),False,VA,GRAND JUNCTION (VAMC),1407806441,575,COLORADO,VAMC,VISN 19,,Hospitals
248,4-248,HINES, IL VAMC,False,VA,EDWARD J. HINES JR. HOSPITAL,1427007863,578,ILLINOIS,VAMC,VISN 12,,Hospitals
249,4-249,MANTENO ILLINOIS VETERANS HOME,False,,,,578DT,ILLINOIS,STNB,VISN 12,HINES, IL VAMC,
250,4-250,HOT SPRINGS, SD MC,False,VA,HOT SPRINGS, SD MC,1790734440,568A4,SOUTH DAKOTA,VAMC,VISN 23,BLACK HILLS HCS,Hospitals
